UDI,Product ID,Type,Air temperature [K],Process temperature [K],Temperature difference [K],Rotational speed [rpm],Rotational speed (rad/s),Torque [Nm],Power (W),Tool wear [min],ToolWear_Torque,Machine failure,TWF,HDF,PWF,OSF,RNF,,,,,,,,,,,,,,,,
2425,L49604,L,298.9,308.2,9.3,1828,191.43,23.8,4555.98,26,618.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2426,L49605,L,298.8,308.1,9.3,1472,154.15,53.5,8246.89,28,1498,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2427,M17286,M,298.9,308.2,9.3,1372,143.68,63.6,9137.76,30,1908,1,0,0,1,0,0,,,,,,,,,,,,,,,,
2428,L49607,L,298.9,308.3,9.4,1855,194.26,23.8,4623.27,33,785.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2429,M17288,M,299,308.3,9.3,1377,144.20,47.2,6806.20,35,1652,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2430,L49609,L,298.9,308.3,9.4,1432,149.96,48.9,7332.98,38,1858.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2431,M17290,M,298.9,308.2,9.3,1335,139.80,47.8,6682.48,40,1912,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2432,M17291,M,298.9,308.2,9.3,1411,147.76,51.3,7580.07,43,2205.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2433,L49612,L,298.9,308.2,9.3,1510,158.13,43.5,6878.52,46,2001,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2434,L49613,L,299,308.3,9.3,1441,150.90,44,6639.65,48,2112,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2435,M17294,M,299,308.2,9.2,1358,142.21,42.7,6072.34,50,2135,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2436,L49615,L,298.9,308.2,9.3,1686,176.56,30.4,5367.35,53,1611.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2437,H31850,H,299,308.2,9.2,1662,174.04,30.4,5290.94,55,1672,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2438,L49617,L,299.1,308.3,9.2,1426,149.33,40.1,5988.15,60,2406,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2439,M17298,M,299.1,308.4,9.3,1330,139.28,53.6,7465.26,62,3323.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2440,L49619,L,299.1,308.4,9.3,1693,177.29,31.6,5602.38,65,2054,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2441,L49620,L,299.1,308.4,9.3,1426,149.33,47.9,7152.92,67,3209.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2442,L49621,L,299.1,308.5,9.4,1676,175.51,31,5440.82,69,2139,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2443,M17302,M,299.1,308.4,9.3,1332,139.49,51.7,7211.46,71,3670.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2444,L49623,L,299.1,308.5,9.4,1647,172.47,35,6036.57,74,2590,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2445,L49624,L,299.2,308.6,9.4,1267,132.68,68.2,9048.77,76,5183.2,1,0,0,1,0,0,,,,,,,,,,,,,,,,
2446,H31859,H,299.2,308.7,9.5,1375,143.99,55.1,7933.83,78,4297.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2447,L49626,L,299.3,308.6,9.3,1422,148.91,48.9,7281.77,83,4058.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2448,L49627,L,299.3,308.7,9.4,1408,147.45,48.7,7180.59,85,4139.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2449,L49628,L,299.4,308.9,9.5,1440,150.80,42.5,6408.85,87,3697.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2450,L49629,L,299.3,308.8,9.5,1772,185.56,25.2,4676.20,89,2242.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2451,L49630,L,299.2,308.7,9.5,1492,156.24,37.8,5905.94,91,3439.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2452,L49631,L,299.2,308.7,9.5,1650,172.79,30.5,5270.02,93,2836.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2453,M17312,M,299.1,308.6,9.5,2329,243.89,14.6,3560.83,95,1387,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2454,L49633,L,299,308.6,9.6,1648,172.58,30.8,5315.41,98,3018.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2455,L49634,L,299,308.6,9.6,1653,173.10,31.7,5487.33,100,3170,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2456,L49635,L,299,308.6,9.6,1946,203.78,22.3,4544.40,102,2274.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2457,L49636,L,299.1,308.6,9.5,1555,162.84,36.6,5959.92,104,3806.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2458,L49637,L,299,308.6,9.6,1661,173.94,32.2,5600.85,106,3413.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2459,L49638,L,299,308.6,9.6,1434,150.17,45.9,6892.72,108,4957.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2460,L49639,L,299,308.6,9.6,1297,135.82,54.2,7361.53,110,5962,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2461,L49640,L,299,308.6,9.6,1466,153.52,46.4,7123.29,112,5196.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2462,M17321,M,298.9,308.6,9.7,1517,158.86,39.8,6322.62,114,4537.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2463,L49642,L,298.9,308.5,9.6,1742,182.42,34.5,6293.55,117,4036.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2464,L49643,L,298.9,308.5,9.6,1580,165.46,39.1,6469.38,119,4652.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2465,M17324,M,298.9,308.5,9.6,1534,160.64,42.9,6891.46,121,5190.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2466,L49645,L,298.9,308.6,9.7,1481,155.09,40.7,6312.16,124,5046.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2467,L49646,L,299,308.6,9.6,1429,149.64,37.7,5641.60,126,4750.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2468,M17327,M,298.9,308.6,9.7,1574,164.83,33.5,5521.77,128,4288,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2469,M17328,M,298.9,308.6,9.7,1524,159.59,40.4,6447.55,131,5292.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2470,L49649,L,299,308.7,9.7,1507,157.81,37.5,5917.98,134,5025,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2471,L49650,L,298.9,308.5,9.6,1467,153.62,44.7,6866.99,136,6079.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2472,L49651,L,298.9,308.4,9.5,1301,136.24,51.1,6961.88,138,7051.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2473,L49652,L,298.9,308.5,9.6,1429,149.64,55.1,8245.41,140,7714,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2474,M17333,M,298.9,308.5,9.6,1555,162.84,37.6,6122.75,142,5339.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2475,L49654,L,298.9,308.5,9.6,1503,157.39,40.6,6390.19,145,5887,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2476,L49655,L,298.9,308.5,9.6,1459,152.79,43.1,6585.08,147,6335.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2477,H31890,H,298.9,308.4,9.5,1449,151.74,42.4,6433.73,149,6317.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2478,L49657,L,298.9,308.5,9.6,1387,145.25,57.3,8322.61,154,8824.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2479,M17338,M,298.9,308.5,9.6,1456,152.47,50,7623.60,156,7800,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2480,L49659,L,299,308.5,9.5,1604,167.97,34.7,5828.58,159,5517.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2481,L49660,L,299,308.6,9.6,1734,181.58,32.4,5883.32,161,5216.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2482,L49661,L,299,308.6,9.6,1378,144.30,47.8,6897.72,163,7791.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2483,L49662,L,298.9,308.7,9.8,1504,157.50,41.8,6583.44,165,6897,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2484,M17343,M,298.9,308.7,9.8,1402,146.82,49.8,7311.49,167,8316.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2485,H31898,H,298.8,308.6,9.8,1524,159.59,37.7,6016.65,170,6409,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2486,L49665,L,298.8,308.6,9.8,1593,166.82,35.5,5922.06,175,6212.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2487,M17346,M,298.9,308.7,9.8,1772,185.56,28.4,5270.00,177,5026.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2488,H31901,H,298.9,308.6,9.7,1623,169.96,31,5268.77,180,5580,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2489,L49668,L,298.9,308.7,9.8,1356,142.00,50.7,7199.40,185,9379.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2490,H31903,H,298.9,308.7,9.8,1500,157.08,41.6,6534.51,187,7779.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2491,H31904,H,299.1,308.8,9.7,1566,163.99,46.6,7641.99,192,8947.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2492,L49671,L,299.1,308.9,9.8,1445,151.32,43.4,6567.29,197,8549.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2493,H31906,H,299,308.8,9.8,1382,144.72,58.5,8466.28,199,11641.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2494,M17353,M,299,308.8,9.8,1418,148.49,45.7,6786.11,204,9322.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2495,L49674,L,299.1,308.8,9.7,1329,139.17,53.6,7459.65,207,11095.2,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2496,M17355,M,299.1,308.8,9.7,1491,156.14,41,6401.62,209,8569,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2497,M17356,M,299.2,308.9,9.7,1573,164.72,37.4,6160.68,212,7928.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2498,M17357,M,299.2,308.9,9.7,1521,159.28,42.3,6737.49,215,9094.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2499,L49678,L,299.1,308.9,9.8,1467,153.62,47.2,7251.05,218,10289.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2500,M17359,M,299.1,308.9,9.8,1325,138.75,48.4,6715.68,220,10648,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2501,L49680,L,299.1,308.9,9.8,1617,169.33,32.3,5469.42,223,7202.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2502,M17361,M,299.1,308.9,9.8,1476,154.57,42.7,6599.98,225,9607.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2503,L49682,L,299.2,309,9.8,1515,158.65,48.9,7758.01,228,11149.2,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2504,L49683,L,299.2,309,9.8,1408,147.45,47.2,6959.42,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2505,L49684,L,299.2,309.1,9.9,1468,153.73,45.6,7010.02,2,91.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2506,L49685,L,299.2,309.1,9.9,1387,145.25,48.7,7073.49,4,194.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2507,M17366,M,299.2,309.1,9.9,1503,157.39,34.7,5461.56,6,208.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2508,H31921,H,299.2,309.1,9.9,1410,147.65,47.1,6954.54,9,423.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2509,L49688,L,299,308.9,9.9,1615,169.12,30.6,5175.15,14,428.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2510,L49689,L,299,308.9,9.9,1511,158.23,35.9,5680.51,16,574.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2511,L49690,L,299.1,309,9.9,1405,147.13,53.8,7915.66,18,968.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2512,M17371,M,299,308.9,9.9,1526,159.80,41.1,6567.88,20,822,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2513,L49692,L,298.9,308.8,9.9,1530,160.22,38.3,6136.47,23,880.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2514,L49693,L,299,308.7,9.7,1583,165.77,32.5,5387.57,25,812.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2515,L49694,L,298.9,308.6,9.7,2069,216.67,18.7,4051.64,27,504.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2516,L49695,L,298.8,308.5,9.7,1490,156.03,35,5461.14,29,1015,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2517,L49696,L,298.8,308.5,9.7,1736,181.79,29,5272.01,31,899,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2518,L49697,L,298.8,308.5,9.7,1395,146.08,44.4,6486.13,33,1465.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2519,M17378,M,298.9,308.6,9.7,1425,149.23,49.6,7401.59,35,1736,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2520,L49699,L,298.8,308.6,9.8,1631,170.80,32.4,5533.85,38,1231.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2521,L49700,L,298.8,308.6,9.8,1535,160.74,41.2,6622.69,40,1648,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2522,L49701,L,298.8,308.6,9.8,1584,165.88,34.4,5706.14,42,1444.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2523,M17382,M,298.8,308.7,9.9,1543,161.58,38.2,6172.45,44,1680.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2524,L49703,L,298.8,308.7,9.9,1635,171.22,35.2,6026.83,47,1654.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2525,M17384,M,298.8,308.7,9.9,1446,151.42,45.5,6889.83,49,2229.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2526,M17385,M,298.8,308.6,9.8,1598,167.34,35.1,5873.71,52,1825.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2527,L49706,L,298.8,308.6,9.8,1501,157.18,35,5501.45,55,1925,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2528,L49707,L,298.8,308.5,9.7,1450,151.84,50.8,7713.66,57,2895.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2529,L49708,L,298.8,308.6,9.8,1730,181.17,25.9,4692.18,59,1528.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2530,M17389,M,298.8,308.6,9.8,1571,164.51,33.7,5544.15,61,2055.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2531,L49710,L,298.9,308.7,9.8,1438,150.59,51.7,7785.35,64,3308.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2532,M17391,M,298.8,308.5,9.7,1510,158.13,38.7,6119.51,66,2554.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2533,L49712,L,298.9,308.7,9.8,1389,145.46,44.9,6530.96,69,3098.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2534,L49713,L,298.8,308.7,9.9,1490,156.03,33.6,5242.69,71,2385.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2535,L49714,L,298.9,308.7,9.8,1729,181.06,26.6,4816.21,73,1941.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2536,L49715,L,299,308.8,9.8,1495,156.56,38.4,6011.75,75,2880,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2537,L49716,L,298.9,308.8,9.9,1281,134.15,53.9,7230.47,77,4150.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2538,H31951,H,298.9,308.7,9.8,1353,141.69,48.1,6815.09,79,3799.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2539,L49718,L,299.1,308.8,9.7,1429,149.64,50.1,7497.19,84,4208.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2540,L49719,L,299.1,308.8,9.7,1413,147.97,42.1,6229.50,86,3620.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2541,L49720,L,299.1,308.8,9.7,1502,157.29,38.3,6024.17,88,3370.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2542,H31955,H,299.1,308.8,9.7,1553,162.63,32.6,5301.73,90,2934,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2543,H31956,H,299.2,308.9,9.7,1712,179.28,26.4,4733.00,95,2508,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2544,L49723,L,299.3,309,9.7,1786,187.03,23.5,4395.19,100,2350,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2545,L49724,L,299.2,309,9.8,1951,204.31,21.4,4372.20,102,2182.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2546,M17405,M,299.2,309,9.8,1541,161.37,36.3,5857.85,104,3775.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2547,L49726,L,299.2,309.1,9.9,1605,168.08,34.3,5764.98,107,3670.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2548,L49727,L,299.2,309.1,9.9,1578,165.25,38.1,6295.94,109,4152.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2549,M17408,M,299.3,309.2,9.9,1440,150.80,37.5,5654.87,111,4162.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2550,L49729,L,299.4,309.2,9.8,1489,155.93,42.3,6595.74,114,4822.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2551,L49730,L,299.4,309.3,9.9,1366,143.05,48.4,6923.48,116,5614.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2552,L49731,L,299.3,309.2,9.9,1541,161.37,37.2,6003.08,118,4389.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2553,H31966,H,299.3,309.1,9.8,1552,162.53,40.7,6614.77,120,4884,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2554,L49733,L,299.3,309.1,9.8,1473,154.25,40.3,6216.36,125,5037.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2555,L49734,L,299.3,309.1,9.8,1531,160.33,37.9,6076.35,127,4813.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2556,L49735,L,299.3,309.2,9.9,1511,158.23,37.2,5886.21,129,4798.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2557,M17416,M,299.3,309.1,9.8,1449,151.74,47.9,7268.29,131,6274.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2558,M17417,M,299.4,309.1,9.7,1440,150.80,50,7539.82,134,6700,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2559,M17418,M,299.2,309,9.8,1881,196.98,23.9,4707.77,137,3274.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2560,L49739,L,299.3,309,9.7,1447,151.53,50.4,7637.09,140,7056,1,0,0,0,0,1,,,,,,,,,,,,,,,,
2561,M17420,M,299.4,309.1,9.7,1326,138.86,62,8609.22,142,8804,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2562,L49741,L,299.4,309.2,9.8,1607,168.28,31.7,5334.62,145,4596.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2563,L49742,L,299.3,309.1,9.8,1551,162.42,39.1,6350.64,147,5747.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2564,L49743,L,299.3,309.1,9.8,1496,156.66,37.2,5827.78,149,5542.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2565,L49744,L,299.3,309.1,9.8,1493,156.35,38,5941.17,151,5738,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2566,L49745,L,299.4,309.1,9.7,1304,136.55,50.5,6896.01,153,7726.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2567,M17426,M,299.3,309,9.7,1420,148.70,41.6,6186.01,155,6448,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2568,L49747,L,299.4,309.1,9.7,1766,184.94,24.6,4549.40,158,3886.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2569,L49748,L,299.6,309.2,9.6,1450,151.84,43.1,6544.46,160,6896,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2570,H31983,H,299.5,309.2,9.7,1872,196.04,22.6,4430.40,162,3661.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2571,L49750,L,299.6,309.2,9.6,1713,179.38,26.5,4753.70,167,4425.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2572,M17431,M,299.5,309.2,9.7,1497,156.77,40.9,6411.71,169,6912.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2573,M17432,M,299.4,309.1,9.7,1352,141.58,44.7,6328.68,172,7688.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2574,L49753,L,299.5,309.2,9.7,1499,156.97,41.5,6514.46,175,7262.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2575,L49754,L,299.5,309.3,9.8,1972,206.51,19.3,3985.59,177,3416.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2576,L49755,L,299.5,309.3,9.8,1422,148.91,49.2,7326.45,179,8806.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2577,L49756,L,299.5,309.3,9.8,1523,159.49,41.5,6618.76,181,7511.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2578,L49757,L,299.5,309.4,9.9,1563,163.68,41.5,6792.59,183,7594.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2579,L49758,L,299.4,309.3,9.9,1391,145.67,46.6,6788.00,185,8621,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2580,L49759,L,299.3,309.1,9.8,1795,187.97,24.7,4642.91,187,4618.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2581,L49760,L,299.3,309.1,9.8,1293,135.40,53.7,7271.12,189,10149.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2582,L49761,L,299.2,309.1,9.9,1345,140.85,60.7,8549.48,191,11593.7,1,0,0,0,1,0,,,,,,,,,,,,,,,,
2583,L49762,L,299.2,309,9.8,1615,169.12,33.7,5699.43,193,6504.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2584,L49763,L,299.2,308.9,9.7,1342,140.53,50.8,7139.12,195,9906,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2585,L49764,L,299.1,308.8,9.7,1502,157.29,46.7,7345.40,197,9199.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2586,M17445,M,299,308.7,9.7,1620,169.65,35.4,6005.47,199,7044.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2587,L49766,L,299,308.7,9.7,1537,160.95,42.8,6888.84,202,8645.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2588,L49767,L,299,308.7,9.7,2248,235.41,16.8,3954.89,204,3427.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2589,L49768,L,299,308.7,9.7,1706,178.65,28.6,5109.44,206,5891.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2590,L49769,L,299,308.7,9.7,2250,235.62,16.6,3911.28,208,3452.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2591,L49770,L,299,308.7,9.7,1396,146.19,48.6,7104.77,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2592,L49771,L,298.9,308.6,9.7,1522,159.38,46.4,7395.39,2,92.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2593,L49772,L,298.9,308.6,9.7,1539,161.16,45.4,7316.83,4,181.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2594,H32007,H,298.9,308.5,9.6,1415,148.18,54,8001.64,6,324,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2595,L49774,L,298.8,308.5,9.7,1446,151.42,37,5602.72,11,407,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2596,M17455,M,298.8,308.6,9.8,1486,155.61,41.1,6395.72,13,534.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2597,L49776,L,299,308.7,9.7,1426,149.33,38.6,5764.15,16,617.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2598,L49777,L,299,308.7,9.7,1449,151.74,38.9,5902.64,18,700.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2599,L49778,L,299.1,308.8,9.7,1320,138.23,67.5,9330.53,20,1350,1,0,0,1,0,0,,,,,,,,,,,,,,,,
2600,M17459,M,299.2,308.9,9.7,1447,151.53,39.6,6000.57,22,871.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2601,L49780,L,299.3,309,9.7,1422,148.91,47.3,7043.51,25,1182.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2602,L49781,L,299.3,309.1,9.8,1399,146.50,52.1,7632.80,27,1406.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2603,L49782,L,299.4,309.2,9.8,1427,149.44,41.5,6201.56,29,1203.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2604,M17463,M,299.3,309.2,9.9,1334,139.70,46.3,6467.93,31,1435.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2605,M17464,M,299.3,309.1,9.8,1385,145.04,45.6,6613.68,34,1550.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2606,L49785,L,299.4,309.2,9.8,1552,162.53,37.4,6078.44,37,1383.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2607,H32020,H,299.4,309.3,9.9,1534,160.64,37.5,6024.00,39,1462.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2608,L49787,L,299.4,309.3,9.9,1448,151.63,48.6,7369.42,44,2138.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2609,L49788,L,299.5,309.3,9.8,1409,147.55,44.7,6595.49,46,2056.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2610,L49789,L,299.4,309.2,9.8,1621,169.75,34.5,5856.40,48,1656,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2611,H32024,H,299.4,309.1,9.7,1547,162.00,40.9,6625.86,50,2045,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2612,L49791,L,299.4,309.1,9.7,1957,204.94,22.1,4529.10,55,1215.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2613,L49792,L,299.4,309.1,9.7,2421,253.53,14.2,3600.08,57,809.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2614,M17473,M,299.3,309.1,9.8,1571,164.51,38.3,6300.91,59,2259.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2615,L49794,L,299.3,309.1,9.8,1634,171.11,36.8,6296.92,62,2281.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2616,L49795,L,299.3,309,9.7,1516,158.76,38.7,6143.82,64,2476.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2617,L49796,L,299.4,309.1,9.7,1207,126.40,66.5,8405.38,66,4389,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2618,L49797,L,299.4,309.1,9.7,1670,174.88,35.9,6278.26,68,2441.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2619,M17478,M,299.4,309.1,9.7,1461,153.00,48.6,7435.58,70,3402,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2620,L49799,L,299.4,309.2,9.8,1569,164.31,40.8,6703.66,73,2978.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
